iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.306623	0	discard	architecture	hammernik-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-search-tpe-calibrated-mayo-ldct-2d: epochs=9, lr=0.00029884, batch_size=1, vn_T=3, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.00011428, val_n=5, val_chunk=1, train_n=50
2		0.289357	0	discard	architecture	hammernik-search-tpe-calibrated-mayo-ldct-2d	random-search	hammernik-search-tpe-calibrated-mayo-ldct-2d: epochs=8, lr=0.00021619, batch_size=1, vn_T=5, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.00025913, val_n=5, val_chunk=1, train_n=50
